Time	Open	High	Low	Close	Volume
2022-12-21 10:00:00	16833.8	16842.6	16820.5	16825.3	2	739
2022-12-21 11:00:00	16825.4	16851.7	16818.3	16842.8	2	759
2022-12-21 12:00:00	16842.8	16846.8	16799.3	16801.8	2	759
2022-12-21 13:00:00	16802.2	16817.4	16780.9	16810.2	2	757
2022-12-21 14:00:00	16810.3	16871.5	16705.3	16753.7	2	758
2022-12-21 15:00:00	16753.8	16829	16734.5	16821.1	2	752
2022-12-21 16:00:00	16821.4	16825.7	16748.5	16749.8	2	759
2022-12-21 17:00:00	16749.8	16785.7	16741.3	16781.5	2	753
2022-12-21 18:00:00	16782.7	16795.8	16742.8	16756.5	2	738
2022-12-21 19:00:00	16756.1	16775.7	16698.5	16718.3	2	725
2022-12-21 20:00:00	16718.1	16744.1	16699.1	16744	2	723
2022-12-21 21:00:00	16743.8	16762	16722.1	16754.1	2	759
2022-12-21 22:00:00	16756.9	16757.7	16723.7	16729	2	759
2022-12-21 23:00:00	16728.6	16792.1	16718.4	16790.5	2	756
2022-12-22 00:00:00	16790	16816	16773.8	16815	2	752
2022-12-22 01:00:00	16815.4	16818	16780.2	16782	2	752
2022-12-22 02:00:00	16781.9	16813.3	16778.8	16813.3	2	753
2022-12-22 03:00:00	16814.4	16817.3	16798.3	16814.6	2	759
2022-12-22 04:00:00	16814.9	16821.5	16799.4	16804.2	2	759
2022-12-22 05:00:00	16805.7	16806.8	16783.2	16788.8	2	746
2022-12-22 06:00:00	16788.3	16791.4	16761.6	16773.3	2	757
2022-12-22 07:00:00	16772.8	16793.6	16752.9	16791.4	2	758
2022-12-22 08:00:00	16791.5	16817.6	16768.5	16801.5	2	759
2022-12-22 09:00:00	16801.6	16826.6	16790.4	16811.7	2	759
2022-12-22 10:00:00	16811.5	16821.4	16786.2	16788.5	2	759
2022-12-22 11:00:00	16788.8	16806	16780.1	16796.9	2	759
2022-12-22 12:00:00	16797.5	16804.8	16775.8	16778.1	2	759
2022-12-22 13:00:00	16778.2	16783.1	16731.7	16742.1	2	759
2022-12-22 14:00:00	16742.2	16751	16604.9	16635.4	2	759
2022-12-22 15:00:00	16635.3	16669.8	16576.2	16596.7	2	753
2022-12-22 16:00:00	16596.5	16628	16580.9	16619.6	2	757
2022-12-22 17:00:00	16619.9	16624.5	16535.1	16553.4	2	749
2022-12-22 18:00:00	16551.9	16581.4	16529.1	16575.9	2	757
2022-12-22 19:00:00	16576.3	16620.5	16572.5	16620.2	2	753
2022-12-22 20:00:00	16620.2	16808.1	16607.3	16745.2	2	750
2022-12-22 21:00:00	16745.2	16782.7	16734.4	16756.6	2	743
2022-12-22 22:00:00	16756.2	16800.8	16746.4	16761	2	759
2022-12-22 23:00:00	16760.6	16792.6	16759.5	16781	2	758
2022-12-23 00:00:00	16780.8	16792.9	16735	16741.7	2	741
2022-12-23 01:00:00	16741.8	16768.2	16734.8	16757	2	757
2022-12-23 02:00:00	16757	16824.6	16740.9	16812.4	2	739
2022-12-23 03:00:00	16812	16854.9	16787.9	16794.8	2	724
2022-12-23 04:00:00	16794.8	16800.8	16774.5	16800.6	2	738
2022-12-23 05:00:00	16800.6	16807.7	16782.6	16783.3	2	759
2022-12-23 06:00:00	16786.3	16811.2	16771.5	16802.6	2	747
2022-12-23 07:00:00	16802.3	16815.3	16798.8	16810.4	2	756
2022-12-23 08:00:00	16810.4	16818	16778.2	16796.5	2	750
2022-12-23 09:00:00	16796.6	16805.6	16783.6	16800.6	2	733
2022-12-23 10:00:00	16800.4	16846.8	16797.3	16819.3	2	756
2022-12-23 11:00:00	16820	16822.1	16806	16807.6	2	752
2022-12-23 12:00:00	16807.4	16834.2	16805	16833.5	2	755
2022-12-23 13:00:00	16833.4	16894.8	16724.4	16804.2	2	759
2022-12-23 14:00:00	16804.4	16814.6	16726.8	16751.2	2	754
